,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,county,car_count
6324,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Kerry,159
6325,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Kildare,331
6326,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Kilkenny,131
6327,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Laois,106
6328,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Leitrim,22
6329,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Longford,22
6330,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Louth,166
6331,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Mayo,98
6332,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Meath,162
6333,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Monaghan,28
6334,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Offaly,100
6335,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Roscommon,368
6336,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Sligo,48
6337,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Westmeath,114
6338,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Wexford,149
6339,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Wicklow,147
6340,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Limerick,175
6341,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Waterford,84
6342,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Tipperary,146
6343,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Cork,913
6344,New Private Cars,2015,All engine capacities with respect to private cars (cc),Kia,All bands,Dublin,1181
6346,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Carlow,6
6347,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Cavan,4
6348,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Clare,14
6349,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Donegal,23
6350,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Galway,33
6351,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Kerry,26
6352,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Kildare,37
6353,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Kilkenny,2
6354,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Laois,2
6355,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Leitrim,1
6356,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Longford,0
6357,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Louth,13
6358,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Mayo,5
6359,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Meath,28
6360,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Monaghan,7
6361,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Offaly,4
6362,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Roscommon,5
6363,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Sligo,0
6364,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Westmeath,8
6365,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Wexford,25
6366,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Wicklow,36
6367,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Limerick,20
6368,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Waterford,56
6369,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Tipperary,9
6370,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Cork,78
6371,New Private Cars,2015,All engine capacities with respect to private cars (cc),Land Rover,All bands,Dublin,482
6373,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Carlow,1
6374,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Cavan,3
6375,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Clare,6
6376,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Donegal,5
6377,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Galway,31
6378,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Kerry,2
6379,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Kildare,16
6380,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Kilkenny,1
6381,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Laois,0
6382,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Leitrim,1
6383,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Longford,3
6384,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Louth,6
6385,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Mayo,7
6386,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Meath,9
6387,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Monaghan,1
6388,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Offaly,2
6389,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Roscommon,3
6390,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Sligo,0
6391,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Westmeath,3
6392,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Wexford,4
6393,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Wicklow,13
6394,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Limerick,10
6395,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Waterford,4
6396,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Tipperary,3
6397,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Cork,45
6398,New Private Cars,2015,All engine capacities with respect to private cars (cc),Lexus,All bands,Dublin,315
6400,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Carlow,44
6401,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Cavan,25
6402,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Clare,98
6403,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Donegal,54
6404,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Galway,59
6405,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Kerry,66
6406,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Kildare,83
6407,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Kilkenny,17
6408,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Laois,15
6409,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Leitrim,3
6410,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Longford,2
6411,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Louth,69
6412,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Mayo,16
6413,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Meath,86
6414,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Monaghan,39
6415,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Offaly,10
6416,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Roscommon,33
6417,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Sligo,9
6418,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Westmeath,6
6419,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Wexford,85
6420,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Wicklow,94
6421,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Limerick,96
6422,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Waterford,91
6423,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Tipperary,52
6424,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Cork,245
6425,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mazda,All bands,Dublin,776
6427,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Carlow,53
6428,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Cavan,41
6429,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Clare,36
6430,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Donegal,22
6431,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Galway,43
6432,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Kerry,33
6433,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Kildare,144
6434,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Kilkenny,42
6435,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Laois,30
6436,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Leitrim,6
6437,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Longford,11
6438,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Louth,43
6439,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Mayo,15
6440,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Meath,86
6441,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Monaghan,28
6442,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Offaly,24
6443,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Roscommon,20
6444,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Sligo,13
6445,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Westmeath,54
6446,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Wexford,58
6447,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Wicklow,49
6448,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Limerick,117
6449,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Waterford,70
6450,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Tipperary,60
6451,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Cork,258
6452,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mercedes Benz,All bands,Dublin,1169
6454,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Carlow,3
6455,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Cavan,5
6456,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Clare,12
6457,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Donegal,10
6458,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Galway,12
6459,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Kerry,8
6460,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Kildare,33
6461,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Kilkenny,14
6462,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Laois,4
6463,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Leitrim,3
6464,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Longford,1
6465,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Louth,7
6466,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Mayo,10
6467,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Meath,19
6468,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Monaghan,4
6469,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Offaly,8
6470,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Roscommon,21
6471,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Sligo,10
6472,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Westmeath,15
6473,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Wexford,12
6474,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Wicklow,22
6475,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Limerick,22
6476,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Waterford,22
6477,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Tipperary,11
6478,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Cork,62
6479,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mini,All bands,Dublin,304
6481,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Carlow,4
6482,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Cavan,7
6483,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Clare,9
6484,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Donegal,25
6485,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Galway,32
6486,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Kerry,18
6487,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Kildare,35
6488,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Kilkenny,19
6489,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Laois,14
6490,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Leitrim,2
6491,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Longford,11
6492,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Louth,32
6493,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Mayo,25
6494,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Meath,38
6495,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Monaghan,28
6496,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Offaly,21
6497,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Roscommon,8
6498,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Sligo,5
6499,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Westmeath,16
6500,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Wexford,22
6501,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Wicklow,46
6502,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Limerick,13
6503,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Waterford,18
6504,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Tipperary,26
6505,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Cork,54
6506,New Private Cars,2015,All engine capacities with respect to private cars (cc),Mitsubishi,All bands,Dublin,349
6508,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Carlow,101
6509,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Cavan,156
6510,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Clare,379
6511,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Donegal,132
6512,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Galway,649
6513,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Kerry,230
6514,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Kildare,430
6515,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Kilkenny,214
6516,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Laois,110
6517,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Leitrim,57
6518,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Longford,35
6519,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Louth,192
6520,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Mayo,175
6521,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Meath,438
6522,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Monaghan,74
6523,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Offaly,127
6524,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Roscommon,952
6525,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Sligo,85
6526,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Westmeath,146
6527,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Wexford,401
6528,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Wicklow,288
6529,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Limerick,481
6530,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Waterford,280
6531,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Tipperary,351
6532,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Cork,1553
6533,New Private Cars,2015,All engine capacities with respect to private cars (cc),Nissan,All bands,Dublin,2807
6535,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Carlow,93
6536,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Cavan,99
6537,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Clare,73
6538,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Donegal,215
6539,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Galway,313
6540,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Kerry,142
6541,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Kildare,236
6542,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Kilkenny,126
6543,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Laois,47
6544,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Leitrim,113
6545,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Longford,28
6546,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Louth,98
6547,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Mayo,43
6548,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Meath,112
6549,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Monaghan,97
6550,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Offaly,70
6551,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Roscommon,651
6552,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Sligo,114
6553,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Westmeath,95
6554,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Wexford,175
6555,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Wicklow,158
6556,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Limerick,244
6557,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Waterford,373
6558,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Tipperary,198
6559,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Cork,883
6560,New Private Cars,2015,All engine capacities with respect to private cars (cc),Opel,All bands,Dublin,2530
6562,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Carlow,57
6563,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Cavan,18
6564,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Clare,57
6565,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Donegal,96
6566,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Galway,99
6567,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Kerry,100
6568,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Kildare,100
6569,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Kilkenny,82
6570,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Laois,13
6571,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Leitrim,8
6572,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Longford,11
6573,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Louth,138
6574,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Mayo,56
6575,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Meath,127
6576,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Monaghan,42
6577,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Offaly,55
6578,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Roscommon,75
6579,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Sligo,14
6580,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Westmeath,61
6581,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Wexford,134
6582,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Wicklow,94
6583,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Limerick,144
6584,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Waterford,306
6585,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Tipperary,173
6586,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Cork,210
6587,New Private Cars,2015,All engine capacities with respect to private cars (cc),Peugeot,All bands,Dublin,1179
6589,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Carlow,0
6590,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Cavan,0
6591,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Clare,0
6592,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Donegal,0
6593,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Galway,2
6594,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Kerry,1
6595,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Kildare,9
6596,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Kilkenny,1
6597,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Laois,1
6598,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Leitrim,0
6599,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Longford,0
6600,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Louth,3
6601,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Mayo,0
6602,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Meath,0
6603,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Monaghan,1
6604,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Offaly,0
6605,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Roscommon,0
6606,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Sligo,0
6607,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Westmeath,0
6608,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Wexford,0
6609,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Wicklow,3
6610,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Limerick,2
6611,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Waterford,0
6612,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Tipperary,0
6613,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Cork,5
6614,New Private Cars,2015,All engine capacities with respect to private cars (cc),Porsche,All bands,Dublin,56
6616,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Carlow,74
6617,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Cavan,18
6618,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Clare,129
6619,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Donegal,80
6620,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Galway,121
6621,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Kerry,78
6622,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Kildare,340
6623,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Kilkenny,113
6624,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Laois,87
6625,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Leitrim,8
6626,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Longford,6
6627,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Louth,252
6628,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Mayo,71
6629,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Meath,225
6630,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Monaghan,15
6631,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Offaly,62
6632,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Roscommon,262
6633,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Sligo,14
6634,New Private Cars,2015,All engine capacities with respect to private cars (cc),Renault,All bands,Westmeath,184
