,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,county,car_count
5892,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Kerry,38
5893,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Kildare,329
5894,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Kilkenny,85
5895,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Laois,43
5896,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Leitrim,18
5897,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Longford,21
5898,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Louth,53
5899,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Mayo,130
5900,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Meath,125
5901,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Monaghan,28
5902,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Offaly,43
5903,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Roscommon,198
5904,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Sligo,92
5905,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Westmeath,87
5906,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Wexford,146
5907,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Wicklow,95
5908,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Limerick,140
5909,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Waterford,213
5910,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Tipperary,78
5911,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Cork,489
5912,New Private Cars,2015,All engine capacities with respect to private cars (cc),Audi,All bands,Dublin,2173
5914,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Carlow,0
5915,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Cavan,0
5916,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Clare,0
5917,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Donegal,0
5918,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Galway,0
5919,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Kerry,0
5920,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Kildare,0
5921,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Kilkenny,0
5922,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Laois,0
5923,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Leitrim,0
5924,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Longford,0
5925,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Louth,0
5926,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Mayo,0
5927,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Meath,0
5928,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Monaghan,0
5929,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Offaly,0
5930,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Roscommon,0
5931,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Sligo,0
5932,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Westmeath,0
5933,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Wexford,0
5934,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Wicklow,0
5935,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Limerick,0
5936,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Waterford,0
5937,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Tipperary,0
5938,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Cork,0
5939,New Private Cars,2015,All engine capacities with respect to private cars (cc),Austin,All bands,Dublin,0
5941,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Carlow,17
5942,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Cavan,18
5943,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Clare,55
5944,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Donegal,32
5945,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Galway,104
5946,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Kerry,65
5947,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Kildare,155
5948,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Kilkenny,48
5949,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Laois,14
5950,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Leitrim,7
5951,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Longford,20
5952,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Louth,50
5953,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Mayo,34
5954,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Meath,71
5955,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Monaghan,12
5956,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Offaly,25
5957,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Roscommon,155
5958,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Sligo,48
5959,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Westmeath,155
5960,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Wexford,76
5961,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Wicklow,56
5962,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Limerick,105
5963,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Waterford,155
5964,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Tipperary,122
5965,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Cork,421
5966,New Private Cars,2015,All engine capacities with respect to private cars (cc),BMW,All bands,Dublin,2631
5968,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Carlow,0
5969,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Cavan,0
5970,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Clare,0
5971,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Donegal,0
5972,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Galway,0
5973,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Kerry,0
5974,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Kildare,0
5975,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Kilkenny,0
5976,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Laois,0
5977,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Leitrim,0
5978,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Longford,0
5979,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Louth,0
5980,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Mayo,0
5981,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Meath,0
5982,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Monaghan,0
5983,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Offaly,0
5984,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Roscommon,0
5985,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Sligo,0
5986,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Westmeath,0
5987,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Wexford,0
5988,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Wicklow,0
5989,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Limerick,0
5990,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Waterford,0
5991,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Tipperary,0
5992,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Cork,0
5993,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Dublin,0
5995,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Carlow,0
5996,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Cavan,0
5997,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Clare,0
5998,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Donegal,0
5999,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Galway,0
6000,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Kerry,0
6001,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Kildare,0
6002,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Kilkenny,0
6003,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Laois,0
6004,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Leitrim,0
6005,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Longford,0
6006,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Louth,0
6007,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Mayo,0
6008,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Meath,0
6009,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Monaghan,0
6010,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Offaly,0
6011,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Roscommon,0
