"Statistic","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Leitrim","Number","312"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Longford","Number","365"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Louth","Number","1274"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Mayo","Number","1216"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Meath","Number","1684"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Monaghan","Number","730"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Offaly","Number","569"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Roscommon","Number","1653"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Sligo","Number","545"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Westmeath","Number","876"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wexford","Number","1282"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","1091"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Limerick","Number","1582"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Waterford","Number","1177"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Tipperary","Number","1229"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Cork","Number","4916"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","14115"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","All licensing authorities","Number","9677"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Carlow","Number","96"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Cavan","Number","209"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Clare","Number","225"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Donegal","Number","615"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Galway","Number","498"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kerry","Number","192"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","487"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kilkenny","Number","190"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Laois","Number","152"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Leitrim","Number","86"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Longford","Number","92"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Louth","Number","357"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Mayo","Number","322"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Meath","Number","375"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Monaghan","Number","267"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Offaly","Number","151"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Roscommon","Number","144"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Sligo","Number","170"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Westmeath","Number","194"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wexford","Number","317"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","257"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Limerick","Number","279"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Waterford","Number","257"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Tipperary","Number","312"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Cork","Number","850"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","2583"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","All licensing authorities","Number","3807"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Carlow","Number","36"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Cavan","Number","51"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Clare","Number","86"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Donegal","Number","216"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Galway","Number","201"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kerry","Number","82"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","150"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kilkenny","Number","47"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Laois","Number","33"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Leitrim","Number","30"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Longford","Number","27"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Louth","Number","119"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Mayo","Number","111"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Meath","Number","140"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Monaghan","Number","74"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Offaly","Number","43"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Roscommon","Number","41"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Sligo","Number","61"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Westmeath","Number","81"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wexford","Number","107"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","84"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Limerick","Number","115"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Waterford","Number","103"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Tipperary","Number","105"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Cork","Number","347"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","1317"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","All licensing authorities","Number","1919"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Carlow","Number","22"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Cavan","Number","34"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Clare","Number","42"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Donegal","Number","103"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Galway","Number","89"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kerry","Number","41"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","94"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kilkenny","Number","34"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Laois","Number","17"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Leitrim","Number","12"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Longford","Number","11"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Louth","Number","51"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Mayo","Number","44"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Meath","Number","83"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Monaghan","Number","38"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Offaly","Number","22"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Roscommon","Number","16"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Sligo","Number","22"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Westmeath","Number","31"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wexford","Number","66"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","57"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Limerick","Number","46"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Waterford","Number","56"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Tipperary","Number","36"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Cork","Number","140"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","712"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","All licensing authorities","Number","1184"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Carlow","Number","6"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Cavan","Number","7"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Clare","Number","29"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Donegal","Number","42"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Galway","Number","56"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kerry","Number","36"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","46"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kilkenny","Number","16"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Laois","Number","12"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Leitrim","Number","7"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Longford","Number","5"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Louth","Number","17"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Mayo","Number","25"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Meath","Number","47"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Monaghan","Number","16"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Offaly","Number","10"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Roscommon","Number","8"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Sligo","Number","15"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Westmeath","Number","24"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wexford","Number","58"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","41"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Limerick","Number","37"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Waterford","Number","45"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Tipperary","Number","25"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Cork","Number","98"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","456"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","All licensing authorities","Number","459"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Carlow","Number","3"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Cavan","Number","5"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Clare","Number","6"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Donegal","Number","16"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Galway","Number","18"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kerry","Number","15"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","20"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kilkenny","Number","10"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Laois","Number","3"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Leitrim","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Longford","Number","3"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Louth","Number","9"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Mayo","Number","11"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Meath","Number","17"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Monaghan","Number","10"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Offaly","Number","7"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Roscommon","Number","6"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Sligo","Number","9"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Westmeath","Number","8"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wexford","Number","10"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","20"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Limerick","Number","23"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Waterford","Number","12"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Tipperary","Number","14"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Cork","Number","46"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","157"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","All licensing authorities","Number","1142"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Carlow","Number","9"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Cavan","Number","18"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Clare","Number","49"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Donegal","Number","99"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Galway","Number","51"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Kerry","Number","54"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","51"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Kilkenny","Number","22"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Laois","Number","23"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Leitrim","Number","17"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Longford","Number","17"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Louth","Number","30"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Mayo","Number","75"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Meath","Number","59"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Monaghan","Number","22"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Offaly","Number","24"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Roscommon","Number","16"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Sligo","Number","23"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Westmeath","Number","44"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Wexford","Number","60"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","43"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Limerick","Number","40"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Waterford","Number","21"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Tipperary","Number","44"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Cork","Number","96"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","135"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","All licensing authorities","Number","881"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Carlow","Number","5"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Cavan","Number","3"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Clare","Number","16"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Donegal","Number","10"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Galway","Number","50"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Kerry","Number","23"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Kildare","Number","59"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Kilkenny","Number","10"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Laois","Number","6"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Leitrim","Number","3"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Longford","Number","4"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Louth","Number","22"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Mayo","Number","15"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Meath","Number","47"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Monaghan","Number","8"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Offaly","Number","4"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Roscommon","Number","8"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Sligo","Number","4"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Westmeath","Number","9"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Wexford","Number","30"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Wicklow","Number","31"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Limerick","Number","30"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Waterford","Number","27"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Tipperary","Number","14"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Cork","Number","115"
"All Private Cars","2015","Up to 900 cc","All makes","All bands","Dublin","Number","328"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","All licensing authorities","Number","729"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Carlow","Number","4"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Cavan","Number","3"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Clare","Number","15"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Donegal","Number","9"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Galway","Number","37"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Kerry","Number","23"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Kildare","Number","52"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Kilkenny","Number","10"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Laois","Number","6"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Leitrim","Number","2"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Longford","Number","4"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Louth","Number","22"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Mayo","Number","11"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Meath","Number","40"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Monaghan","Number","6"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Offaly","Number","2"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Roscommon","Number","5"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Sligo","Number","3"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Westmeath","Number","7"
"All Private Cars","2015","Up to 900 cc","All makes","Band  A","Wexford","Number","26"
