"Statistic","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","All licensing authorities","Number","168327"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Carlow","Number","1886"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Cavan","Number","2493"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Clare","Number","3965"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Donegal","Number","6256"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Galway","Number","7886"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Kerry","Number","3726"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Kildare","Number","7402"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Kilkenny","Number","3055"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Laois","Number","2216"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Leitrim","Number","1134"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Longford","Number","1269"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Louth","Number","4540"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Mayo","Number","4100"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Meath","Number","5881"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Monaghan","Number","2472"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Offaly","Number","2089"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Roscommon","Number","5288"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Sligo","Number","1993"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Westmeath","Number","3136"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Wexford","Number","5821"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Wicklow","Number","4042"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Limerick","Number","5841"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Waterford","Number","4701"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Tipperary","Number","4886"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Cork","Number","18235"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Dublin","Number","54014"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","All licensing authorities","Number","104555"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Carlow","Number","1259"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Cavan","Number","1494"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Clare","Number","2448"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Donegal","Number","3237"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Galway","Number","4672"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kerry","Number","2223"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","4506"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kilkenny","Number","1966"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Laois","Number","1348"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Leitrim","Number","669"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Longford","Number","749"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Louth","Number","2683"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Mayo","Number","2296"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Meath","Number","3476"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Monaghan","Number","1315"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Offaly","Number","1263"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Roscommon","Number","3404"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Sligo","Number","1148"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Westmeath","Number","1878"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wexford","Number","3921"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","2449"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Limerick","Number","3719"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Waterford","Number","3030"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Tipperary","Number","3121"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Cork","Number","11742"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","34539"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","All licensing authorities","Number","45584"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Carlow","Number","455"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Cavan","Number","675"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Clare","Number","1080"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Donegal","Number","1928"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Galway","Number","2301"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kerry","Number","1083"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","2048"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kilkenny","Number","770"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","Band  B","Laois","Number","628"
