"Statistic","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Donegal","Number","9"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Galway","Number","11"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Kerry","Number","8"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Kildare","Number","17"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Kilkenny","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Laois","Number","4"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Leitrim","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Longford","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Louth","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Mayo","Number","4"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Meath","Number","12"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Monaghan","Number","5"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Offaly","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Roscommon","Number","4"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Sligo","Number","3"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Westmeath","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Wexford","Number","3"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Wicklow","Number","9"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Limerick","Number","8"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Waterford","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Tipperary","Number","7"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Cork","Number","32"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Dublin","Number","98"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","All licensing authorities","Number","13410"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Carlow","Number","153"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Cavan","Number","232"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Clare","Number","348"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Donegal","Number","493"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Galway","Number","756"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Kerry","Number","281"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Kildare","Number","654"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Kilkenny","Number","229"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Laois","Number","173"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Leitrim","Number","124"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Longford","Number","145"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Louth","Number","379"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Mayo","Number","409"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Meath","Number","533"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Monaghan","Number","226"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Offaly","Number","187"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Roscommon","Number","370"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Sligo","Number","183"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Westmeath","Number","273"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Wexford","Number","467"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Wicklow","Number","290"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Limerick","Number","582"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Waterford","Number","443"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Tipperary","Number","403"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Cork","Number","1250"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Audi","All bands","Dublin","Number","3827"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","All licensing authorities","Number","3"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Carlow","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Cavan","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Clare","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Donegal","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Galway","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Kerry","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Kildare","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Kilkenny","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Laois","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Leitrim","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Longford","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Louth","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Mayo","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Meath","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Monaghan","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Offaly","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Roscommon","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Sligo","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Westmeath","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Wexford","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Wicklow","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Limerick","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Waterford","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Tipperary","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Cork","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Austin","All bands","Dublin","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","All licensing authorities","Number","11724"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Carlow","Number","77"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Cavan","Number","153"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Clare","Number","211"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Donegal","Number","361"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Galway","Number","504"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Kerry","Number","176"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Kildare","Number","515"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Kilkenny","Number","170"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Laois","Number","113"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Leitrim","Number","41"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Longford","Number","66"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Louth","Number","339"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Mayo","Number","250"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Meath","Number","438"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Monaghan","Number","157"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Offaly","Number","107"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Roscommon","Number","146"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Sligo","Number","91"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Westmeath","Number","288"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Wexford","Number","395"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Wicklow","Number","238"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Limerick","Number","432"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Waterford","Number","238"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Tipperary","Number","346"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Cork","Number","1084"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","BMW","All bands","Dublin","Number","4788"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","All licensing authorities","Number","102"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Carlow","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Cavan","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Clare","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Donegal","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Galway","Number","6"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Kerry","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Kildare","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Kilkenny","Number","4"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Laois","Number","4"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Leitrim","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Longford","Number","3"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Louth","Number","8"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Mayo","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Meath","Number","7"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Monaghan","Number","5"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Offaly","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Roscommon","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Sligo","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Westmeath","Number","3"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Wexford","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Wicklow","Number","10"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Limerick","Number","6"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Waterford","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Tipperary","Number","3"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Cork","Number","7"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Dublin","Number","24"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","All licensing authorities","Number","27"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Carlow","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Cavan","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Clare","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Donegal","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Galway","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Kerry","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Kildare","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Kilkenny","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Laois","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Leitrim","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Longford","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Louth","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Mayo","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Meath","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Monaghan","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Offaly","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Roscommon","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Sligo","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Westmeath","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Wexford","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Wicklow","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Limerick","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Waterford","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Tipperary","Number","3"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Cork","Number","4"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Dublin","Number","8"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","All licensing authorities","Number","3483"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Carlow","Number","37"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Cavan","Number","51"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Clare","Number","116"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Donegal","Number","186"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Galway","Number","218"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Kerry","Number","116"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Kildare","Number","178"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Kilkenny","Number","54"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Laois","Number","59"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Leitrim","Number","26"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Longford","Number","40"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Louth","Number","90"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Mayo","Number","120"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Meath","Number","143"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Monaghan","Number","43"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Offaly","Number","76"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Roscommon","Number","42"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Sligo","Number","38"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Westmeath","Number","77"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Wexford","Number","148"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Wicklow","Number","90"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Limerick","Number","110"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Waterford","Number","91"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Tipperary","Number","141"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Cork","Number","320"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Citroen","All bands","Dublin","Number","873"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","All licensing authorities","Number","3710"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Carlow","Number","104"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Cavan","Number","68"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Clare","Number","121"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Donegal","Number","87"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Galway","Number","148"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Kerry","Number","82"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Kildare","Number","216"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Kilkenny","Number","91"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Laois","Number","96"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Leitrim","Number","26"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Longford","Number","9"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Louth","Number","91"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Mayo","Number","83"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Meath","Number","164"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Monaghan","Number","22"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Offaly","Number","82"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Roscommon","Number","64"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Sligo","Number","29"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Westmeath","Number","80"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Wexford","Number","118"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Wicklow","Number","102"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Limerick","Number","147"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Waterford","Number","293"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Tipperary","Number","92"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Cork","Number","446"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dacia","All bands","Dublin","Number","849"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","All licensing authorities","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Carlow","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Cavan","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Clare","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Donegal","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Galway","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Kerry","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Kildare","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Kilkenny","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Laois","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Leitrim","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Longford","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Louth","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Mayo","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Meath","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Monaghan","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Offaly","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Roscommon","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Sligo","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Westmeath","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Wexford","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Wicklow","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Limerick","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Waterford","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Tipperary","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Cork","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Dublin","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","All licensing authorities","Number","16"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Carlow","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Cavan","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Clare","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Donegal","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Galway","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Kerry","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Kildare","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Kilkenny","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Laois","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Leitrim","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Longford","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Louth","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Mayo","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Meath","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Monaghan","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Offaly","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Roscommon","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Sligo","Number","2"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Westmeath","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Wexford","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Wicklow","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Limerick","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Waterford","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Tipperary","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Cork","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Daihatsu","All bands","Dublin","Number","6"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","All licensing authorities","Number","5"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Carlow","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Cavan","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Clare","Number","1"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Donegal","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Galway","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Kerry","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Kildare","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Kilkenny","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Laois","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Leitrim","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Longford","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Louth","Number","0"
"All Private Cars","2018","All engine capacities with respect to private cars (cc)","Dodge","All bands","Mayo","Number","0"
