"Statistic","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Laois","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Leitrim","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Longford","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Louth","Number","5"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Mayo","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Meath","Number","6"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Monaghan","Number","3"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Offaly","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Roscommon","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Sligo","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Westmeath","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Wexford","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Wicklow","Number","6"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Limerick","Number","4"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Waterford","Number","4"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Tipperary","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Cork","Number","10"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Dublin","Number","49"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","All licensing authorities","Number","8815"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Carlow","Number","78"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Cavan","Number","129"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Clare","Number","183"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Donegal","Number","290"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Galway","Number","492"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Kerry","Number","134"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Kildare","Number","493"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Kilkenny","Number","129"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Laois","Number","90"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Leitrim","Number","55"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Longford","Number","87"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Louth","Number","187"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Mayo","Number","288"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Meath","Number","277"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Monaghan","Number","116"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Offaly","Number","93"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Roscommon","Number","268"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Sligo","Number","149"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Westmeath","Number","181"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Wexford","Number","264"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Wicklow","Number","187"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Limerick","Number","283"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Waterford","Number","282"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Tipperary","Number","196"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Cork","Number","811"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Audi","All bands","Dublin","Number","3073"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","All licensing authorities","Number","3"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Carlow","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Cavan","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Clare","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Donegal","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Galway","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Kerry","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Kildare","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Kilkenny","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Laois","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Leitrim","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Longford","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Louth","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Mayo","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Meath","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Monaghan","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Offaly","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Roscommon","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Sligo","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Westmeath","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Wexford","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Wicklow","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Limerick","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Waterford","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Tipperary","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Cork","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Austin","All bands","Dublin","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","All licensing authorities","Number","7384"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Carlow","Number","34"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Cavan","Number","68"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Clare","Number","108"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Donegal","Number","174"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Galway","Number","290"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Kerry","Number","124"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Kildare","Number","286"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Kilkenny","Number","86"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Laois","Number","45"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Leitrim","Number","19"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Longford","Number","51"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Louth","Number","150"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Mayo","Number","103"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Meath","Number","218"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Monaghan","Number","86"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Offaly","Number","57"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Roscommon","Number","177"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Sligo","Number","67"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Westmeath","Number","207"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Wexford","Number","151"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Wicklow","Number","116"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Limerick","Number","209"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Waterford","Number","198"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Tipperary","Number","196"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Cork","Number","687"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","BMW","All bands","Dublin","Number","3477"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","All licensing authorities","Number","44"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Carlow","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Cavan","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Clare","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Donegal","Number","5"
