Year,Month,County,Registration type,Engine type,Car registration count
2017,January,Galway,New Irish Registrations,Non electric,"1,568"
2017,February,Galway,New Irish Registrations,Non electric,570
2017,March,Galway,New Irish Registrations,Non electric,665
2017,April,Galway,New Irish Registrations,Non electric,254
2017,May,Galway,New Irish Registrations,Non electric,159
2017,June,Galway,New Irish Registrations,Non electric,31
2017,July,Galway,New Irish Registrations,Non electric,912
2017,August,Galway,New Irish Registrations,Non electric,255
2017,September,Galway,New Irish Registrations,Non electric,130
2017,October,Galway,New Irish Registrations,Non electric,72
2017,November,Galway,New Irish Registrations,Non electric,23
2017,December,Galway,New Irish Registrations,Non electric,3
2017,January,Galway,New Imports,Non electric,1
2017,April,Galway,New Imports,Non electric,1
2017,July,Galway,New Imports,Non electric,1
2017,August,Galway,New Imports,Non electric,1
2017,January,Galway,Used Imports,Non electric,444
2017,February,Galway,Used Imports,Non electric,502
2017,March,Galway,Used Imports,Non electric,530
2017,April,Galway,Used Imports,Non electric,469
2017,May,Galway,Used Imports,Non electric,446
2017,June,Galway,Used Imports,Non electric,450
2017,July,Galway,Used Imports,Non electric,466
2017,August,Galway,Used Imports,Non electric,457
2017,September,Galway,Used Imports,Non electric,479
2017,October,Galway,Used Imports,Non electric,514
2017,November,Galway,Used Imports,Non electric,513
2017,December,Galway,Used Imports,Non electric,328
2017,January,Galway,New Irish Registrations,Electric,9
2017,February,Galway,New Irish Registrations,Electric,4
2017,March,Galway,New Irish Registrations,Electric,4
2017,April,Galway,New Irish Registrations,Electric,3
2017,July,Galway,New Irish Registrations,Electric,9
2017,August,Galway,New Irish Registrations,Electric,2
2017,September,Galway,New Irish Registrations,Electric,3
2017,November,Galway,New Irish Registrations,Electric,1
2017,January,Galway,Used Imports,Electric,3
2017,February,Galway,Used Imports,Electric,4
2017,March,Galway,Used Imports,Electric,8
2017,April,Galway,Used Imports,Electric,3
2017,May,Galway,Used Imports,Electric,1
2017,June,Galway,Used Imports,Electric,1
2017,July,Galway,Used Imports,Electric,2
2017,August,Galway,Used Imports,Electric,3
2017,September,Galway,Used Imports,Electric,3
2017,October,Galway,Used Imports,Electric,3
2017,November,Galway,Used Imports,Electric,5
2017,December,Galway,Used Imports,Electric,1
2017,January,Galway,New Irish Registrations,Hybrid,78
2017,February,Galway,New Irish Registrations,Hybrid,29
2017,March,Galway,New Irish Registrations,Hybrid,37
2017,April,Galway,New Irish Registrations,Hybrid,8
2017,May,Galway,New Irish Registrations,Hybrid,16
2017,July,Galway,New Irish Registrations,Hybrid,58
2017,August,Galway,New Irish Registrations,Hybrid,10
2017,September,Galway,New Irish Registrations,Hybrid,2
2017,October,Galway,New Irish Registrations,Hybrid,3
2017,January,Galway,Used Imports,Hybrid,6
2017,February,Galway,Used Imports,Hybrid,9
2017,March,Galway,Used Imports,Hybrid,15
2017,April,Galway,Used Imports,Hybrid,23
2017,May,Galway,Used Imports,Hybrid,17
2017,June,Galway,Used Imports,Hybrid,21
2017,July,Galway,Used Imports,Hybrid,14
2017,August,Galway,Used Imports,Hybrid,15
2017,September,Galway,Used Imports,Hybrid,15
2017,October,Galway,Used Imports,Hybrid,34
2017,November,Galway,Used Imports,Hybrid,24
2017,December,Galway,Used Imports,Hybrid,13
2017,January,Leitrim,New Irish Registrations,Non electric,199
2017,February,Leitrim,New Irish Registrations,Non electric,78
2017,March,Leitrim,New Irish Registrations,Non electric,69
2017,April,Leitrim,New Irish Registrations,Non electric,27
2017,May,Leitrim,New Irish Registrations,Non electric,12
2017,June,Leitrim,New Irish Registrations,Non electric,3
2017,July,Leitrim,New Irish Registrations,Non electric,101
2017,August,Leitrim,New Irish Registrations,Non electric,22
2017,September,Leitrim,New Irish Registrations,Non electric,15
2017,October,Leitrim,New Irish Registrations,Non electric,6
2017,November,Leitrim,New Irish Registrations,Non electric,4
2017,January,Leitrim,Used Imports,Non electric,88
2017,February,Leitrim,Used Imports,Non electric,67
2017,March,Leitrim,Used Imports,Non electric,83
2017,April,Leitrim,Used Imports,Non electric,77
