Year,Statistic,Engine Capacity cc,Car Make,Emission Band,county,car_count
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Longford,21
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Louth,53
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Mayo,130
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Meath,125
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Monaghan,28
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Offaly,43
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Roscommon,198
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Sligo,92
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Westmeath,87
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Wexford,146
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Wicklow,95
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Limerick,140
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Waterford,213
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Tipperary,78
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Cork,489
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Dublin,2173
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Carlow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Cavan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Clare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Donegal,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Galway,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Kerry,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Kildare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Kilkenny,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Laois,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Leitrim,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Longford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Louth,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Mayo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Meath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Monaghan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Offaly,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Roscommon,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Sligo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Westmeath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Wexford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Wicklow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Limerick,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Waterford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Tipperary,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Cork,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Dublin,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Carlow,17
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Cavan,18
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Clare,55
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Donegal,32
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Galway,104
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Kerry,65
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Kildare,155
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Kilkenny,48
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Laois,14
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Leitrim,7
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Longford,20
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Louth,50
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Mayo,34
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Meath,71
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Monaghan,12
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Offaly,25
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Roscommon,155
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Sligo,48
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Westmeath,155
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Wexford,76
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Wicklow,56
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Limerick,105
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Waterford,155
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Tipperary,122
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Cork,421
2015,New Private Cars,All engine capacities with respect to private cars (cc),BMW,All bands,Dublin,2631
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Carlow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Cavan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Clare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Donegal,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Galway,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Kerry,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Kildare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Kilkenny,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Laois,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Leitrim,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Longford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Louth,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Mayo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Meath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Monaghan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Offaly,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Roscommon,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Sligo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Westmeath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Wexford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Wicklow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Limerick,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Waterford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Tipperary,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Cork,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chevrolet,All bands,Dublin,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Carlow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Cavan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Clare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Donegal,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Galway,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Kerry,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Kildare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Kilkenny,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Laois,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Leitrim,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Longford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Louth,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Mayo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Meath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Monaghan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Offaly,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Roscommon,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Sligo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Westmeath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Wexford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Wicklow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Limerick,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Waterford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Tipperary,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Cork,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Chrysler,All bands,Dublin,2
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Carlow,34
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Cavan,12
