,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,Licensing Authority,UNIT,VALUE
2617,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Cork,Number,98.0
2618,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Dublin,Number,424.0
2619,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,All licensing authorities,Number,490.0
2620,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Carlow,Number,3.0
2621,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Cavan,Number,2.0
2622,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Clare,Number,12.0
2623,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Donegal,Number,21.0
2624,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Galway,Number,28.0
2625,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Kerry,Number,14.0
2626,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Kildare,Number,14.0
2627,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Kilkenny,Number,9.0
2628,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Laois,Number,6.0
2629,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Leitrim,Number,4.0
2630,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Longford,Number,5.0
2631,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Louth,Number,7.0
2632,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Mayo,Number,17.0
2633,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Meath,Number,16.0
2634,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Monaghan,Number,0.0
2635,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Offaly,Number,5.0
2636,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Roscommon,Number,7.0
2637,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Sligo,Number,5.0
2638,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Westmeath,Number,6.0
2639,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Wexford,Number,18.0
2640,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Wicklow,Number,23.0
2641,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Limerick,Number,21.0
2642,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Waterford,Number,12.0
2643,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Tipperary,Number,9.0
2644,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Cork,Number,49.0
2645,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Dublin,Number,177.0
2646,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,All licensing authorities,Number,1112.0
2647,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Carlow,Number,12.0
2648,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Cavan,Number,18.0
2649,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Clare,Number,35.0
2650,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Donegal,Number,101.0
2651,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Galway,Number,71.0
2652,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Kerry,Number,37.0
2653,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Kildare,Number,30.0
2654,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Kilkenny,Number,19.0
2655,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Laois,Number,16.0
2656,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Leitrim,Number,11.0
2657,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Longford,Number,19.0
2658,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Louth,Number,45.0
2659,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Mayo,Number,70.0
2660,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Meath,Number,61.0
2661,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Monaghan,Number,24.0
2662,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Offaly,Number,32.0
2663,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Roscommon,Number,12.0
2664,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Sligo,Number,16.0
2665,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Westmeath,Number,29.0
2666,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Wexford,Number,46.0
2667,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Wicklow,Number,36.0
2668,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Limerick,Number,37.0
2669,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Waterford,Number,25.0
2670,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Tipperary,Number,52.0
2671,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Cork,Number,75.0
2672,All Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Dublin,Number,183.0
2673,All Private Cars,2016,Up to 900 cc,All makes,All bands,All licensing authorities,Number,1018.0
2674,All Private Cars,2016,Up to 900 cc,All makes,All bands,Carlow,Number,6.0
2675,All Private Cars,2016,Up to 900 cc,All makes,All bands,Cavan,Number,5.0
2676,All Private Cars,2016,Up to 900 cc,All makes,All bands,Clare,Number,19.0
2677,All Private Cars,2016,Up to 900 cc,All makes,All bands,Donegal,Number,18.0
2678,All Private Cars,2016,Up to 900 cc,All makes,All bands,Galway,Number,43.0
2679,All Private Cars,2016,Up to 900 cc,All makes,All bands,Kerry,Number,19.0
2680,All Private Cars,2016,Up to 900 cc,All makes,All bands,Kildare,Number,67.0
2681,All Private Cars,2016,Up to 900 cc,All makes,All bands,Kilkenny,Number,17.0
2682,All Private Cars,2016,Up to 900 cc,All makes,All bands,Laois,Number,13.0
2683,All Private Cars,2016,Up to 900 cc,All makes,All bands,Leitrim,Number,5.0
2684,All Private Cars,2016,Up to 900 cc,All makes,All bands,Longford,Number,0.0
2685,All Private Cars,2016,Up to 900 cc,All makes,All bands,Louth,Number,27.0
2686,All Private Cars,2016,Up to 900 cc,All makes,All bands,Mayo,Number,8.0
2687,All Private Cars,2016,Up to 900 cc,All makes,All bands,Meath,Number,44.0
2688,All Private Cars,2016,Up to 900 cc,All makes,All bands,Monaghan,Number,4.0
2689,All Private Cars,2016,Up to 900 cc,All makes,All bands,Offaly,Number,10.0
2690,All Private Cars,2016,Up to 900 cc,All makes,All bands,Roscommon,Number,8.0
2691,All Private Cars,2016,Up to 900 cc,All makes,All bands,Sligo,Number,6.0
2692,All Private Cars,2016,Up to 900 cc,All makes,All bands,Westmeath,Number,10.0
2693,All Private Cars,2016,Up to 900 cc,All makes,All bands,Wexford,Number,36.0
2694,All Private Cars,2016,Up to 900 cc,All makes,All bands,Wicklow,Number,46.0
2695,All Private Cars,2016,Up to 900 cc,All makes,All bands,Limerick,Number,49.0
2696,All Private Cars,2016,Up to 900 cc,All makes,All bands,Waterford,Number,30.0
2697,All Private Cars,2016,Up to 900 cc,All makes,All bands,Tipperary,Number,22.0
2698,All Private Cars,2016,Up to 900 cc,All makes,All bands,Cork,Number,110.0
2699,All Private Cars,2016,Up to 900 cc,All makes,All bands,Dublin,Number,396.0
2700,All Private Cars,2016,Up to 900 cc,All makes,Band  A,All licensing authorities,Number,928.0
2701,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Carlow,Number,6.0
2702,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Cavan,Number,4.0
2703,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Clare,Number,19.0
2704,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Donegal,Number,16.0
2705,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Galway,Number,41.0
2706,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Kerry,Number,17.0
2707,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Kildare,Number,64.0
2708,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Kilkenny,Number,16.0
2709,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Laois,Number,11.0
2710,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Leitrim,Number,5.0
2711,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Longford,Number,0.0
2712,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Louth,Number,24.0
2713,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Mayo,Number,7.0
2714,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Meath,Number,41.0
2715,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Monaghan,Number,1.0
2716,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Offaly,Number,9.0
2717,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Roscommon,Number,6.0
2718,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Sligo,Number,6.0
2719,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Westmeath,Number,10.0
2720,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Wexford,Number,33.0
2721,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Wicklow,Number,42.0
2722,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Limerick,Number,45.0
2723,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Waterford,Number,25.0
2724,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Tipperary,Number,20.0
2725,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Cork,Number,104.0
2726,All Private Cars,2016,Up to 900 cc,All makes,Band  A,Dublin,Number,356.0
2727,All Private Cars,2016,Up to 900 cc,All makes,Band  B,All licensing authorities,Number,67.0
2728,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Carlow,Number,0.0
2729,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Cavan,Number,1.0
2730,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Clare,Number,0.0
2731,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Donegal,Number,2.0
2732,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Galway,Number,1.0
2733,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Kerry,Number,1.0
2734,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Kildare,Number,1.0
2735,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Kilkenny,Number,1.0
2736,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Laois,Number,0.0
2737,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Leitrim,Number,0.0
2738,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Longford,Number,0.0
2739,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Louth,Number,3.0
2740,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Mayo,Number,0.0
2741,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Meath,Number,2.0
2742,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Monaghan,Number,3.0
2743,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Offaly,Number,1.0
2744,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Roscommon,Number,1.0
2745,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Sligo,Number,0.0
2746,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Westmeath,Number,0.0
2747,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Wexford,Number,2.0
2748,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Wicklow,Number,3.0
2749,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Limerick,Number,3.0
2750,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Waterford,Number,3.0
2751,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Tipperary,Number,2.0
2752,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Cork,Number,5.0
2753,All Private Cars,2016,Up to 900 cc,All makes,Band  B,Dublin,Number,32.0
2754,All Private Cars,2016,Up to 900 cc,All makes,Band  C,All licensing authorities,Number,7.0
2755,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Carlow,Number,0.0
2756,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Cavan,Number,0.0
2757,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Clare,Number,0.0
2758,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Donegal,Number,0.0
2759,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Galway,Number,0.0
2760,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Kerry,Number,0.0
2761,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Kildare,Number,1.0
2762,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Kilkenny,Number,0.0
2763,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Laois,Number,1.0
2764,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Leitrim,Number,0.0
2765,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Longford,Number,0.0
2766,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Louth,Number,0.0
2767,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Mayo,Number,0.0
2768,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Meath,Number,1.0
2769,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Monaghan,Number,0.0
2770,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Offaly,Number,0.0
2771,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Roscommon,Number,1.0
2772,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Sligo,Number,0.0
2773,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Westmeath,Number,0.0
2774,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Wexford,Number,1.0
2775,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Wicklow,Number,0.0
2776,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Limerick,Number,0.0
2777,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Waterford,Number,0.0
2778,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Tipperary,Number,0.0
2779,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Cork,Number,0.0
2780,All Private Cars,2016,Up to 900 cc,All makes,Band  C,Dublin,Number,2.0
2781,All Private Cars,2016,Up to 900 cc,All makes,Band  D,All licensing authorities,Number,0.0
2782,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Carlow,Number,0.0
2783,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Cavan,Number,0.0
2784,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Clare,Number,0.0
2785,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Donegal,Number,0.0
2786,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Galway,Number,0.0
2787,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Kerry,Number,0.0
2788,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Kildare,Number,0.0
2789,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Kilkenny,Number,0.0
2790,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Laois,Number,0.0
2791,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Leitrim,Number,0.0
2792,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Longford,Number,0.0
2793,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Louth,Number,0.0
2794,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Mayo,Number,0.0
2795,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Meath,Number,0.0
2796,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Monaghan,Number,0.0
2797,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Offaly,Number,0.0
2798,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Roscommon,Number,0.0
2799,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Sligo,Number,0.0
2800,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Westmeath,Number,0.0
2801,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Wexford,Number,0.0
2802,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Wicklow,Number,0.0
2803,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Limerick,Number,0.0
2804,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Waterford,Number,0.0
2805,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Tipperary,Number,0.0
2806,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Cork,Number,0.0
2807,All Private Cars,2016,Up to 900 cc,All makes,Band  D,Dublin,Number,0.0
2808,All Private Cars,2016,Up to 900 cc,All makes,Band  E,All licensing authorities,Number,0.0
2809,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Carlow,Number,0.0
2810,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Cavan,Number,0.0
2811,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Clare,Number,0.0
2812,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Donegal,Number,0.0
2813,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Galway,Number,0.0
2814,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Kerry,Number,0.0
2815,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Kildare,Number,0.0
2816,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Kilkenny,Number,0.0
2817,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Laois,Number,0.0
2818,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Leitrim,Number,0.0
2819,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Longford,Number,0.0
2820,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Louth,Number,0.0
2821,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Mayo,Number,0.0
2822,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Meath,Number,0.0
2823,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Monaghan,Number,0.0
2824,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Offaly,Number,0.0
2825,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Roscommon,Number,0.0
2826,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Sligo,Number,0.0
2827,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Westmeath,Number,0.0
2828,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Wexford,Number,0.0
2829,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Wicklow,Number,0.0
2830,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Limerick,Number,0.0
2831,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Waterford,Number,0.0
2832,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Tipperary,Number,0.0
2833,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Cork,Number,0.0
2834,All Private Cars,2016,Up to 900 cc,All makes,Band  E,Dublin,Number,0.0
2835,All Private Cars,2016,Up to 900 cc,All makes,Band  F,All licensing authorities,Number,0.0
2836,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Carlow,Number,0.0
2837,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Cavan,Number,0.0
2838,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Clare,Number,0.0
2839,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Donegal,Number,0.0
2840,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Galway,Number,0.0
2841,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Kerry,Number,0.0
2842,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Kildare,Number,0.0
2843,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Kilkenny,Number,0.0
2844,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Laois,Number,0.0
2845,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Leitrim,Number,0.0
2846,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Longford,Number,0.0
2847,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Louth,Number,0.0
2848,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Mayo,Number,0.0
2849,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Meath,Number,0.0
2850,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Monaghan,Number,0.0
2851,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Offaly,Number,0.0
2852,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Roscommon,Number,0.0
2853,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Sligo,Number,0.0
2854,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Westmeath,Number,0.0
2855,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Wexford,Number,0.0
2856,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Wicklow,Number,0.0
2857,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Limerick,Number,0.0
2858,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Waterford,Number,0.0
2859,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Tipperary,Number,0.0
2860,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Cork,Number,0.0
2861,All Private Cars,2016,Up to 900 cc,All makes,Band  F,Dublin,Number,0.0
2862,All Private Cars,2016,Up to 900 cc,All makes,Band  G,All licensing authorities,Number,0.0
2863,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Carlow,Number,0.0
2864,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Cavan,Number,0.0
2865,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Clare,Number,0.0
2866,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Donegal,Number,0.0
2867,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Galway,Number,0.0
2868,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Kerry,Number,0.0
2869,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Kildare,Number,0.0
2870,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Kilkenny,Number,0.0
2871,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Laois,Number,0.0
2872,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Leitrim,Number,0.0
2873,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Longford,Number,0.0
2874,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Louth,Number,0.0
2875,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Mayo,Number,0.0
2876,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Meath,Number,0.0
2877,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Monaghan,Number,0.0
2878,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Offaly,Number,0.0
2879,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Roscommon,Number,0.0
2880,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Sligo,Number,0.0
2881,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Westmeath,Number,0.0
2882,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Wexford,Number,0.0
2883,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Wicklow,Number,0.0
2884,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Limerick,Number,0.0
2885,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Waterford,Number,0.0
2886,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Tipperary,Number,0.0
2887,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Cork,Number,0.0
2888,All Private Cars,2016,Up to 900 cc,All makes,Band  G,Dublin,Number,0.0
2889,All Private Cars,2016,Up to 900 cc,All makes,Not available,All licensing authorities,Number,16.0
2890,All Private Cars,2016,Up to 900 cc,All makes,Not available,Carlow,Number,0.0
2891,All Private Cars,2016,Up to 900 cc,All makes,Not available,Cavan,Number,0.0
2892,All Private Cars,2016,Up to 900 cc,All makes,Not available,Clare,Number,0.0
2893,All Private Cars,2016,Up to 900 cc,All makes,Not available,Donegal,Number,0.0
2894,All Private Cars,2016,Up to 900 cc,All makes,Not available,Galway,Number,1.0
2895,All Private Cars,2016,Up to 900 cc,All makes,Not available,Kerry,Number,1.0
2896,All Private Cars,2016,Up to 900 cc,All makes,Not available,Kildare,Number,1.0
2897,All Private Cars,2016,Up to 900 cc,All makes,Not available,Kilkenny,Number,0.0
2898,All Private Cars,2016,Up to 900 cc,All makes,Not available,Laois,Number,1.0
2899,All Private Cars,2016,Up to 900 cc,All makes,Not available,Leitrim,Number,0.0
2900,All Private Cars,2016,Up to 900 cc,All makes,Not available,Longford,Number,0.0
2901,All Private Cars,2016,Up to 900 cc,All makes,Not available,Louth,Number,0.0
2902,All Private Cars,2016,Up to 900 cc,All makes,Not available,Mayo,Number,1.0
2903,All Private Cars,2016,Up to 900 cc,All makes,Not available,Meath,Number,0.0
2904,All Private Cars,2016,Up to 900 cc,All makes,Not available,Monaghan,Number,0.0
2905,All Private Cars,2016,Up to 900 cc,All makes,Not available,Offaly,Number,0.0
2906,All Private Cars,2016,Up to 900 cc,All makes,Not available,Roscommon,Number,0.0
2907,All Private Cars,2016,Up to 900 cc,All makes,Not available,Sligo,Number,0.0
2908,All Private Cars,2016,Up to 900 cc,All makes,Not available,Westmeath,Number,0.0
2909,All Private Cars,2016,Up to 900 cc,All makes,Not available,Wexford,Number,0.0
2910,All Private Cars,2016,Up to 900 cc,All makes,Not available,Wicklow,Number,1.0
2911,All Private Cars,2016,Up to 900 cc,All makes,Not available,Limerick,Number,1.0
2912,All Private Cars,2016,Up to 900 cc,All makes,Not available,Waterford,Number,2.0
2913,All Private Cars,2016,Up to 900 cc,All makes,Not available,Tipperary,Number,0.0
2914,All Private Cars,2016,Up to 900 cc,All makes,Not available,Cork,Number,1.0
2915,All Private Cars,2016,Up to 900 cc,All makes,Not available,Dublin,Number,6.0
2916,All Private Cars,2016,901-1000 cc,All makes,All bands,All licensing authorities,Number,13445.0
2917,All Private Cars,2016,901-1000 cc,All makes,All bands,Carlow,Number,110.0
2918,All Private Cars,2016,901-1000 cc,All makes,All bands,Cavan,Number,137.0
2919,All Private Cars,2016,901-1000 cc,All makes,All bands,Clare,Number,253.0
2920,All Private Cars,2016,901-1000 cc,All makes,All bands,Donegal,Number,385.0
2921,All Private Cars,2016,901-1000 cc,All makes,All bands,Galway,Number,439.0
2922,All Private Cars,2016,901-1000 cc,All makes,All bands,Kerry,Number,268.0
2923,All Private Cars,2016,901-1000 cc,All makes,All bands,Kildare,Number,546.0
2924,All Private Cars,2016,901-1000 cc,All makes,All bands,Kilkenny,Number,248.0
2925,All Private Cars,2016,901-1000 cc,All makes,All bands,Laois,Number,132.0
2926,All Private Cars,2016,901-1000 cc,All makes,All bands,Leitrim,Number,50.0
2927,All Private Cars,2016,901-1000 cc,All makes,All bands,Longford,Number,80.0
2928,All Private Cars,2016,901-1000 cc,All makes,All bands,Louth,Number,394.0
2929,All Private Cars,2016,901-1000 cc,All makes,All bands,Mayo,Number,256.0
2930,All Private Cars,2016,901-1000 cc,All makes,All bands,Meath,Number,406.0
2931,All Private Cars,2016,901-1000 cc,All makes,All bands,Monaghan,Number,127.0
